Test ID,Test Suite,Test Name,Requirement,Method,Endpoint,Auth,Request Body,Expected Status,Expected Result
TC-001,Auth,Register user with all required fields,Req #1 - Register with name tel email password,POST,/api/v1/auth/register,None,"{""name"":""Test User"",""tel"":""081-234-5678"",""email"":""testuser@test.com"",""password"":""password123"",""role"":""user""}",200,Returns success:true and JWT token
TC-002,Auth,Register user missing name,Req #1 - Validation,POST,/api/v1/auth/register,None,"{""tel"":""081-234-5678"",""email"":""test2@test.com"",""password"":""password123""}",400,Returns error: Name is required
TC-003,Auth,Register user missing tel,Req #1 - Validation,POST,/api/v1/auth/register,None,"{""name"":""Test"",""email"":""test3@test.com"",""password"":""password123""}",400,Returns error: Telephone number is required
TC-004,Auth,Register user missing email,Req #1 - Validation,POST,/api/v1/auth/register,None,"{""name"":""Test"",""tel"":""081-234-5678"",""password"":""password123""}",400,Returns error: Email is required
TC-005,Auth,Register user missing password,Req #1 - Validation,POST,/api/v1/auth/register,None,"{""name"":""Test"",""tel"":""081-234-5678"",""email"":""test5@test.com""}",400,Returns error: Password is required
TC-006,Auth,Register user duplicate email,Req #1 - Validation,POST,/api/v1/auth/register,None,"{""name"":""Test"",""tel"":""081-234-5678"",""email"":""testuser@test.com"",""password"":""password123""}",400,Returns error: duplicate key email
TC-007,Auth,Login with valid credentials,Req #2 - Login with email and password,POST,/api/v1/auth/login,None,"{""email"":""testuser@test.com"",""password"":""password123""}",200,Returns success:true and JWT token
TC-008,Auth,Login with wrong password,Req #2 - Login validation,POST,/api/v1/auth/login,None,"{""email"":""testuser@test.com"",""password"":""wrongpassword""}",400,Returns error: Invalid credentials
TC-009,Auth,Login with non-existent email,Req #2 - Login validation,POST,/api/v1/auth/login,None,"{""email"":""noone@test.com"",""password"":""password123""}",400,Returns error: Invalid credentials
TC-010,Auth,Login missing email,Req #2 - Login validation,POST,/api/v1/auth/login,None,"{""password"":""password123""}",400,Returns error: Please provide email and password
TC-011,Auth,Login missing password,Req #2 - Login validation,POST,/api/v1/auth/login,None,"{""email"":""testuser@test.com""}",400,Returns error: Please provide email and password
TC-012,Auth,Get current user (me),Req #2 - Verify logged in user,GET,/api/v1/auth/me,Bearer TOKEN,,200,Returns user data with name tel email role
TC-013,Auth,Logout,Req #2 - Logout,GET,/api/v1/auth/logout,None,,200,Returns success:true and clears cookie
TC-014,Auth,Access protected route without token,Req #2 - Auth middleware,GET,/api/v1/auth/me,None,,401,Returns error: Not authorized
TC-015,Company,Get all companies (public),Req #3 - Company list provided to user,GET,/api/v1/companies,None,,200,Returns list of companies with count
TC-016,Company,Get single company by ID,Req #3 - Company info,GET,/api/v1/companies/:id,None,,200,Returns company with name address website description tel
TC-017,Company,Get company not found,Req #3 - Company info,GET,/api/v1/companies/invalidid,None,,404,Returns error: No company with id
